Team,Nationality,Position,Age,Potential,Name 
SV Darmstadt 98 ,Germany,Defensa central|Medio centro ofensivo,31,Bueno,Mathias Wittek
Kayserispor ,Ivory Coast,Lateral derecho|Medio centro ofensivo,29,Bueno,Brice Dja Djédjé
KV Oostende ,Belgium,Medio izquierdo|Medio centro|Medio centro ofensivo,30,Bueno,Michiel Jonckheere
Jeju United FC ,Korea Republic,Medio centro|Extremo izquierdo,29,Bueno,Kim Young Uk
FC Lorient ,France,Lateral derecho|Medio centro,34,Bueno,Jonathan Delaplace
Club Atlético Aldosivi ,Argentina,Medio izquierdo|Medio centro|Medio centro ofensivo,30,Bueno,Facundo Bertoglio
Sydney FC ,Australia,Medio centro ofensivo|Medio centro,30,Bueno,Luke Brattan
CD Mirandés ,Spain,Portero,29,Bueno,Raúl Lizoain
Pordenone ,Italy,Delantero Centro,31,Bueno,Riccardo Bocalon
Pisa ,Italy,Lateral derecho|Defensa central,28,Bueno,Simone Benedetti
Salerno ,Italy,Defensa central,29,Bueno,Ramzi Aya
Odds BK ,Kosovo,Extremo izquierdo|Extremo izquierdo,27,Bueno,Elbasan Rashani
Birmingham City ,England,Medio centro ofensivo|Medio centro,27,Bueno,Josh McEachran
Trapani ,Italy,Delantero Centro,28,Bueno,Stefano Pettinari
Kristiansund BK ,Norway,Defensa central,31,Bueno,Dan Peter Ulvestad
FC Cincinnati ,United States,Lateral izquierdo|Medio izquierdo,28,Bueno,Greg Garza
CD Tenerife ,Spain,Defensa central,37,Bueno,Carlos Ruiz
FC Ingolstadt 04 ,Denmark,Lateral derecho|Defensa central,29,Bueno,Bjørn Paulsen
AD Alcorcón ,Spain,Medio centro ofensivo,34,Bueno,Aguilera
Doncaster Rovers ,England,Medio derecho|Medio izquierdo,28,Bueno,Jon Taylor
Cardiff City ,Curacao,Lateral derecho|Medio centro ofensivo|Medio centro,28,Bueno,Leandro Bacuna
SpVgg Unterhaching ,Germany,Medio centro ofensivo|Medio centro,31,Bueno,Dominik Stahl
Pogon Szczecin ,Poland,Medio centro ofensivo|Medio centro,27,Bueno,Damian Dabrowski
CFR Cluj ,France,Extremo izquierdo|Extremo izquierdo,32,Bueno,Michael Pereira
Hull City ,England,Delantero Centro,28,Bueno,Tom Eaves
Fútbol Club Juárez ,Uruguay,Defensa central,33,Bueno,Jonathan Lacerda
CFR Cluj ,DR Congo,Defensa central,28,Bueno,Mike Cestor
Cúcuta Deportivo ,Colombia,Defensa central,33,Bueno,Hanyer Mosquera
New England Revolution ,United States,Delantero Centro|Medio derecho,30,Bueno,Teal Bunbury
Strømsgodset IF ,Norway,Lateral derecho,31,Bueno,Lars Vilsvik
Free Agents ,Bolivia,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,32,Bueno,Marvin Bejarano
MKE Ankaragücü ,Turkey,Lateral izquierdo|Medio izquierdo,28,Bueno,Atila Turan
Portsmouth ,England,Delantero Centro|Medio centro ofensivo,28,Bueno,John Marquis
Preston North End ,England,Delantero Centro,28,Bueno,Louis Moult
Real Racing Club ,Spain,Medio centro ofensivo|Medio centro,31,Bueno,Toribio
Atlético Tucumán ,Argentina,Medio centro ofensivo|Medio derecho|Medio centro,30,Bueno,Cristian Erbes
Aalborg BK ,Denmark,Lateral izquierdo|Medio izquierdo,29,Bueno,Jakob Ahlmann
Royal Antwerp FC ,Senegal,Medio derecho|Medio izquierdo,31,Bueno,Amara Baby
Orlando Pirates ,France,Portero,30,Bueno,Joris Delle
Impact Montréal ,Finland,Lateral derecho|Lateral izquierdo|Defensa central,31,Bueno,Jukka Raitala
Fotbal Club FCSB ,Greece,Lateral izquierdo|Defensa central,29,Bueno,Aristidis Soiledis
Moreirense FC ,Portugal,Portero,32,Bueno,Pedro Trigueira
Charlton Athletic ,Wales,Lateral derecho,28,Bueno,Adam Matthews
Hokkaido Consadole Sapporo ,Thailand,Portero,30,Bueno,Kawin Thamsatchanan
Colorado Rapids ,Scotland,Defensa central|Medio centro ofensivo,28,Bueno,Danny Wilson
Ipswich Town ,England,Delantero Centro,29,Bueno,James Norwood
Pordenone ,Italy,Medio centro|Medio centro ofensivo,34,Bueno,Davide Gavazzi
FC Ingolstadt 04 ,Germany,Delantero Centro|Medio derecho|Medio izquierdo,29,Bueno,Maximilian Beister
Cardiff City ,Wales,Carrilero derecho|Lateral derecho|Lateral izquierdo|Extremo izquierdo,29,Bueno,Ashley Richards
Barnsley ,Austria,Portero,27,Bueno,Samuel Sahin-Radlinger
WSG Swarovski Tirol ,Brazil,Defensa central,31,Bueno,Bruno Soares
RC Deportivo ,Venezuela,Delantero Centro,32,Bueno,Christian Santos
DSC Arminia Bielefeld ,Germany,Lateral izquierdo|Defensa central|Medio centro ofensivo,30,Bueno,Stephan Salger
Djurgårdens IF ,lbania,Medio centro,30,Bueno,Astrit Ajdarevic
CFR Cluj ,Venezuela,Delantero Centro|Extremo izquierdo,34,Bueno,Mario Rondón
Club Atlético Tigre ,Argentina,Defensa central,34,Bueno,Ignacio Canuto
Hammarby IF ,Denmark,Defensa central,29,Bueno,Mads Fenger
Trapani ,France,Medio centro ofensivo|Medio centro,31,Bueno,Anthony Michel Taugourdeau
AIK ,Sweden,Delantero Centro|Medio izquierdo,29,Bueno,Nabil Bahoui
Livorno ,Romania,Medio izquierdo|Medio centro,29,Bueno,Adrian Stoian
Shimizu S-Pulse ,Brazil,Delantero Centro|Medio izquierdo|Medio centro ofensivo,32,Bueno,Júnior Dutra
Ulsan Hyundai Horang-i ,Korea Republic,Medio centro ofensivo|Medio centro|Medio centro ofensivo,32,Bueno,Kim Sung Joon
Kashima Antlers ,Japan,Carrilero derecho|Lateral derecho|Extremo izquierdo,32,Bueno,Atsuto Uchida
FC Paços de Ferreira ,Brazil,Lateral izquierdo,34,Bueno,Bruno Teles
Ascoli ,Italy,Medio centro ofensivo|Medio centro,28,Bueno,Davide Petrucci
Aarhus AGF ,Denmark,Delantero Centro,31,Bueno,Patrick Mortensen
Venezia ,Italy,Delantero Centro,29,Bueno,Gianmarco Zigoni
FC Zürich ,Gambia,Lateral izquierdo|Medio izquierdo,30,Bueno,Pa Modou Jagne
Luton Town ,England,Delantero Centro|Medio derecho,29,Bueno,Callum McManaman
Eintracht Braunschweig ,Germany,Delantero Centro,29,Bueno,Marvin Pourié
Trapani ,Norway,Defensa central,30,Bueno,Stefan Strandberg
Örebro SK ,Sweden,Portero,29,Bueno,Oscar Jansson
Ascoli ,Italy,Defensa central,29,Bueno,Riccardo Brosco
Olympique de Marseille ,France,Defensa central|Medio centro ofensivo,30,Bueno,Grégory Sertic
Royal Antwerp FC ,Ghana,Lateral derecho,29,Bueno,Daniel Opare
Kaizer Chiefs ,South Africa,Medio centro ofensivo|Media punta|Extremo izquierdo,34,Bueno,Bernard Parker
Odds BK ,Norway,Defensa central,30,Bueno,Fredrik Semb Berge
Ranheim Fotball ,Norway,Medio centro,32,Bueno,Mads Reginiussen
Esbjerg fB ,Jamaica,Defensa central|Medio centro ofensivo,35,Bueno,Rodolph Austin
F.C. Tokyo ,Brazil,Delantero Centro|Medio izquierdo|Media punta,29,Bueno,Adaílton
UD Las Palmas ,Spain,Medio centro ofensivo|Medio centro,32,Bueno,Javi Castellano
UD Las Palmas ,Spain,Lateral izquierdo,32,Bueno,Dani Castellano
PSV ,Netherlands,Portero,33,Bueno,Robbin Ruiter
Melbourne Victory ,lbania,Medio centro ofensivo|Medio centro,33,Bueno,Migjen Basha
Bristol City ,Wales,Delantero Centro|Medio derecho,29,Bueno,Marley Watkins
PEC Zwolle ,Iran,Delantero Centro,32,Bueno,Reza Ghoochannejhad
ADO Den Haag ,Netherlands,Delantero Centro|Extremo izquierdo,32,Bueno,Erik Falkenburg
Málaga CF ,Spain,Defensa central,33,Bueno,Lombán
Charlton Athletic ,England,Lateral derecho|Lateral izquierdo,29,Bueno,Chris Solly
Standard de Liège ,Croatia,Delantero Centro,30,Bueno,Duje Cop
SønderjyskE ,Denmark,Medio centro ofensivo|Medio centro,30,Bueno,Mads Albæk
Luton Town ,Scotland,Medio centro,31,Bueno,Andrew Shinnie
Genoa ,Sweden,Defensa central|Medio centro ofensivo|Medio centro,31,Bueno,Sebastian Eriksson
Chievo Verona ,Italy,Lateral izquierdo|Medio izquierdo,32,Bueno,Francesco Renzetti
Club Deportivo El Nacional ,Ecuador,Portero,34,Bueno,Máximo Banguera
Free Agents ,Iceland,Defensa central,29,Bueno,Hólmar Örn Eyjólfsson
Wellington Phoenix ,Australia,Defensa central,30,Bueno,Luke DeVere
Legia Warszawa ,France,Defensa central,29,Bueno,William Rémy
AJ Auxerre ,France,Lateral derecho|Defensa central|Medio centro ofensivo,28,Bueno,Alexandre Coeff
Stade Malherbe Caen ,France,Portero,28,Bueno,Erwin Zelazny
FC St. Pauli ,Germany,Medio centro ofensivo|Medio centro,32,Bueno,Johannes Flum
Benevento ,Italy,Defensa central,30,Bueno,Alessandro Tuia
Cosenza ,France,Delantero Centro,30,Bueno,Emmanuel Rivière
KV Mechelen ,Belgium,Portero,30,Bueno,Yannick Thoelen
Wolfsberger AC ,Serbia,Defensa central,35,Bueno,Nemanja Rnic
CD Lugo ,Spain,Delantero Centro,34,Bueno,Manu Barreiro
Central Coast Mariners ,Australia,Medio izquierdo|Medio centro ofensivo,28,Bueno,Tommy Oar
Dijon FCO ,France,Medio derecho|Medio izquierdo,34,Bueno,Frédéric Sammaritano
Middlesbrough ,Benin,Delantero Centro,31,Bueno,Rudy Gestede
Fútbol Club Juárez ,Brazil,Delantero Centro,34,Bueno,Leandro Carrijo
Curicó Unido ,Chile,Portero,35,Bueno,Paulo Garcés
Malmö FF ,Sweden,Delantero Centro,31,Bueno,Guillermo Molins
SpVgg Unterhaching ,Germany,Delantero Centro,31,Bueno,Stephan Hain
Colorado Rapids ,United States,Portero,31,Bueno,William Yarbrough
Club Atlético de San Luis ,Mexico,Medio centro,31,Bueno,Javier Cortés
Fútbol Club Juárez ,Mexico,Lateral derecho,30,Bueno,Israel Jiménez
FC Lugano ,Switzerland,Lateral izquierdo|Defensa central,29,Bueno,Fabio Daprelà
Paris FC ,Ghana,Medio centro ofensivo|Medio centro,30,Bueno,Mohammed Rabiu
Gimnasia y Esgrima La Plata ,Argentina,Medio derecho|Medio centro ofensivo,35,Bueno,Matías Pérez García
Hull City ,Northern Ireland,Delantero Centro,29,Bueno,Josh Magennis
Atlético Tucumán ,Argentina,Lateral izquierdo|Medio izquierdo,33,Bueno,Fabián Monzón
Puebla ,Mexico,Defensa central,31,Bueno,Néstor Vidrio
Puebla ,Mexico,Defensa central,34,Bueno,Daniel Arreola
Sunderland ,New Zealand,Defensa central,30,Bueno,Tommy Smith
Rosenborg BK ,Norway,Lateral derecho,29,Bueno,Vegar Eggen Hedenstad
Club Deportivo Jorge Wilstermann ,Argentina,Medio centro ofensivo|Extremo izquierdo,34,Bueno,Cristián Chávez
FC Nantes ,Serbia,Portero,32,Bueno,Denis Petric
Derby County ,Scotland,Delantero Centro,31,Bueno,Chris Martin
Fútbol Club Juárez ,Mexico,Medio derecho|Medio izquierdo|Medio centro ofensivo,33,Bueno,Flavio Santos
ADO Den Haag ,Netherlands,Delantero Centro,31,Bueno,Michiel Kramer
Zaglebie Lubin ,Slovakia,Defensa central,37,Bueno,Lubomír Guldan
Ulsan Hyundai Horang-i ,Korea Republic,Medio centro ofensivo|Medio centro|Medio centro ofensivo,32,Bueno,Koh Myong Jin
Legia Warszawa ,Czech Republic,Delantero Centro,31,Bueno,Tomáš Pekhart
VfL Osnabrück ,Germany,Lateral izquierdo|Medio izquierdo,30,Bueno,Kevin Wolze
FC Midtjylland ,Denmark,Delantero Centro,33,Bueno,Lasse Vibe
Cremona ,Italy,Lateral izquierdo|Medio izquierdo,32,Bueno,Francesco Migliore
Blackpool ,England,Medio centro ofensivo|Medio centro,31,Bueno,Jay Spearing
Holstein Kiel ,Germany,Lateral izquierdo,33,Bueno,Johannes van den Bergh
Servette FC ,Switzerland,Medio izquierdo|Medio centro ofensivo,30,Bueno,Sébastien Wüthrich
ADO Den Haag ,England,Lateral derecho,30,Bueno,Jordan Spence
Sheffield United ,England,Defensa central|Medio centro ofensivo|Medio centro,29,Bueno,Jack Rodwell
Malmö FF ,Norway,Delantero Centro|Media punta,29,Bueno,Jo Inge Berget
Rosenborg BK ,Norway,Extremo izquierdo,30,Bueno,Pål André Helland
Aberdeen ,England,Lateral derecho,32,Bueno,Shay Logan
KV Kortrijk ,Belgium,Portero,31,Bueno,Sébastien Bruzzese
Luton Town ,England,Delantero Centro,31,Bueno,Danny Hylton
Shandong Luneng TaiShan FC ,China PR,Defensa central,32,Bueno,Dai Lin
Hebei China Fortune FC ,China PR,Lateral derecho|Medio derecho|Extremo izquierdo,31,Bueno,Zhang Chengdong
Peterborough United ,England,Defensa central,30,Bueno,Mark Beevers
Pescara ,Italy,Lateral derecho|Defensa central,33,Bueno,Mirko Drudi
Guangzhou Evergrande Taobao FC ,China PR,Medio centro ofensivo|Medio centro,33,Bueno,Huang Bowen
AJ Auxerre ,France,Medio centro ofensivo|Medio centro,33,Bueno,François Bellugou
Antalyaspor ,France,Lateral izquierdo,32,Bueno,Aly Cissokho
SV Zulte Waregem ,France,Medio centro ofensivo|Medio centro,31,Bueno,Damien Marcq
FC København ,Sweden,Lateral izquierdo,32,Bueno,Pierre Bengtsson
ADO Den Haag ,Czech Republic,Delantero Centro,30,Bueno,Tomáš Necid
Daegu FC ,Montenegro,Delantero Centro|Media punta,39,Bueno,Dejan Damjanovic
KV Oostende ,Iceland,Lateral izquierdo|Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,33,Bueno,Ari Skúlason
Orlando Pirates ,South Africa,Lateral derecho|Defensa central,33,Bueno,Happy Jele
Puebla ,Mexico,Lateral derecho,31,Bueno,Jesús Paganoni
U.N.A.M. ,Mexico,Medio centro ofensivo|Medio centro,30,Bueno,David Cabrera
FC Lorient ,France,Defensa central,31,Bueno,Joris Sainati
Wigan Athletic ,Republic of Ireland,Delantero Centro|Medio derecho,32,Bueno,Anthony Pilkington
Peterborough United ,Scotland,Medio derecho|Medio izquierdo|Medio centro,34,Bueno,George Boyd
Odense Boldklub ,Denmark,Medio centro ofensivo|Medio centro,32,Bueno,Janus Drachmann
CD Palestino ,Chile,Medio izquierdo|Medio centro,36,Bueno,César Cortés
FC Twente ,Netherlands,Medio centro ofensivo|Medio centro,33,Bueno,Wout Brama
KV Mechelen ,Netherlands,Defensa central,35,Bueno,Arjan Swinkels
Club León ,Mexico,Defensa central,36,Bueno,Ignacio González
CF Fuenlabrada ,Spain,Defensa central,33,Bueno,Chico Flores
Albacete BP ,Spain,Medio centro ofensivo|Medio centro,33,Bueno,Jon Erice
AD Alcorcón ,Spain,Lateral izquierdo,35,Bueno,Bellvís
Eintracht Braunschweig ,Germany,Medio centro ofensivo|Medio centro,33,Bueno,Bernd Nehrig
Free Agents ,South Africa,Medio centro ofensivo|Medio centro,32,Bueno,Dean Furman
Philadelphia Union ,Brazil,Medio derecho|Medio centro ofensivo,34,Bueno,Ilsinho
Colo-Colo ,Chile,Portero,37,Bueno,Miguel Pinto
Oxford United ,England,Defensa central,34,Bueno,John Mousinho
FC Cincinnati ,Poland,Portero,33,Bueno,Przemyslaw Tyton
KV Kortrijk ,DR Congo,Medio derecho|Medio izquierdo|Medio centro ofensivo,30,Bueno,Hervé Kage
Le Mans FC ,France,Defensa central,35,Bueno,Jérémy Choplin
Slask Wroclaw ,Poland,Medio centro ofensivo,33,Bueno,Krzysztof Maczynski
SV Sandhausen ,Iceland,Delantero Centro|Medio derecho,32,Bueno,Rúrik Gíslason
Brighton & Hove Albion ,England,Portero,31,Bueno,David Button
SK Sturm Graz ,Austria,Medio centro ofensivo|Medio centro,35,Bueno,Christoph Leitgeb
Perth Glory ,Australia,Carrilero izquierdo|Extremo izquierdo,32,Bueno,James Meredith
Sporting Charleroi ,Greece,Lateral derecho|Medio derecho,32,Bueno,Stergos Marinos
KAS Eupen ,Belgium,Lateral izquierdo|Defensa central,34,Bueno,Siebe Blondelle
Adelaide United ,Australia,Medio centro ofensivo|Medio centro,32,Bueno,James Troisi
New England Revolution ,England,Defensa central,32,Bueno,Michael Mancienne
FC Midtjylland ,Denmark,Portero,31,Bueno,Mikkel Andersen
Wisla Kraków ,lbania,Medio centro ofensivo,30,Bueno,Vullnet Basha
Pescara ,Italy,Lateral derecho|Medio derecho,34,Bueno,Antonio Balzano
Preston North End ,England,Defensa central,32,Bueno,Paul Huntington
Derby County ,England,Portero,32,Bueno,Ben Hamer
West Bromwich Albion ,England,Lateral derecho,33,Bueno,Lee Peltier
Eintracht Braunschweig ,Bosnia & Herzegovina,Portero,34,Bueno,Jasmin Fejzic
Willem II ,Netherlands,Defensa central,33,Bueno,Jordens Peters
SV Sandhausen ,Germany,Defensa central|Medio centro ofensivo,34,Bueno,Markus Karl
Pachuca ,Argentina,Portero,34,Bueno,Oscar Ustari
Pachuca ,Turkey,Delantero Centro,33,Bueno,Colin Kazim-Richards
Kasimpasa SK ,Turkey,Portero,33,Bueno,Fatih Öztürk
Gangwon FC ,Korea Republic,Defensa central|Medio centro,36,Bueno,Oh Beom Seok
Castellammare di Stabia ,Argentina,Medio centro ofensivo|Medio centro,37,Bueno,Mariano Julio Izco
Stoke City ,Republic of Ireland,Lateral izquierdo,34,Bueno,Stephen Ward
Albacete BP ,Paraguay,Delantero Centro|Medio derecho,32,Bueno,Javier Acuña
Sunderland ,Wales,Defensa central,32,Bueno,Joel Lynch
Queens Park Rangers ,Scotland,Lateral izquierdo,32,Bueno,Lee Wallace
Hobro IK ,Denmark,Medio centro ofensivo|Medio centro,34,Bueno,Jonas Brix-Damborg
Atlanta United ,United States,Medio centro ofensivo|Medio centro,36,Bueno,Jeff Larentowicz
Colorado Rapids ,United States,Defensa central,36,Bueno,Drew Moor
Malmö FF ,Sweden,Lateral izquierdo|Defensa central,35,Bueno,Behrang Safari
Brisbane Roar ,England,Portero,34,Bueno,Jamie Young
Blackburn Rovers ,England,Delantero Centro,34,Bueno,Danny Graham
Perth Glory ,Australia,Medio centro ofensivo|Medio centro,34,Bueno,Neil Kilkenny
FK Austria Wien ,Austria,Carrilero derecho|Lateral derecho|Medio derecho|Extremo izquierdo,33,Bueno,Florian Klein
Puebla ,Mexico,Lateral izquierdo,35,Bueno,Gerardo Rodríguez
Wigan Athletic ,Scotland,Lateral izquierdo|Defensa central,34,Bueno,Danny Fox
Guangzhou Evergrande Taobao FC ,China PR,Medio centro ofensivo|Medio centro,39,Bueno,Zheng Zhi
Western United FC ,Kosovo,Delantero Centro,35,Bueno,Besart Berisha
SC Paderborn 07 ,Germany,Defensa central,34,Bueno,Uwe Hünemeier
Monarcas Morelia ,Mexico,Lateral izquierdo,34,Bueno,Efraín Velarde
IF Elfsborg ,Sweden,Medio centro,36,Bueno,Samuel Holmén
Fútbol Club Juárez ,Mexico,Portero,37,Bueno,Iván Vázquez
Luton Town ,England,Lateral derecho|Defensa central,33,Bueno,Martin Cranie
Queens Park Rangers ,Spain,Lateral derecho,37,Bueno,Àngel Rangel
Newcastle Jets ,Republic of Ireland,Medio derecho|Medio centro ofensivo,38,Bueno,Wes Hoolahan
West Bromwich Albion ,Oman,Portero,38,Bueno,Ali Al Habsi
Wisla Kraków ,Poland,Defensa central,40,Bueno,Marcin Wasilewski
LKS Lódz ,Poland,Portero,40,Bueno,Arkadiusz Malarz
Fotbal Club Politehnica Ia?i ,Romania,Delantero Centro,36,Bueno,Andrei Cristea
Clubul Sportiv Gaz Metan Media? ,Romania,Portero,37,Bueno,Razvan Ple?ca
AD Alcorcón ,Spain,Medio centro ofensivo|Medio centro,37,Bueno,Dorca
CF Fuenlabrada ,Spain,Defensa central,37,Bueno,David Prieto
Konyaspor ,Turkey,Lateral izquierdo,33,Bueno,Ferhat Öztorun
Club Libertad ,Paraguay,Defensa central,40,Bueno,Paulo Da Silva
Salerno ,Italy,Medio centro ofensivo|Extremo izquierdo,36,Bueno,Alessandro Rosina
Brescia ,Italy,Defensa central,37,Bueno,Daniele Gastaldello
KV Kortrijk ,Belgium,Defensa central|Medio centro|Medio centro ofensivo,35,Bueno,Christophe Lepoint
Seongnam FC ,Korea Republic,Portero,37,Bueno,Kim Young Kwang
Jeju United FC ,Korea Republic,Delantero Centro,36,Bueno,Jung Jo Gook
RCD Mallorca ,Spain,Lateral derecho|Defensa central,38,Bueno,Xisco Campos
KV Mechelen ,Belgium,Portero,37,Bueno,Bram Castro
Standard de Liège ,Belgium,Portero,41,Bueno,Jean-François Gillet
Tromsø IL ,Norway,Medio centro,38,Bueno,Morten Gamst Pedersen
Unión de Santa Fe ,Colombia,Defensa central,29,Bueno,Jorge Zules Caicedo
GIF Sundsvall ,North Macedonia,Portero,29,Bueno,Jakob Manasiev Sederstrom
Al Fateh ,Algeria,Medio centro,27,Bueno,Sofiane Bendebka
Fotbal Club Dinamo Bucure?ti ,Romania,Medio derecho|Medio izquierdo|Medio centro ofensivo,30,Bueno,Valentin Lazar
Arsenal de Sarandí ,Uruguay,Delantero Centro|Media punta,25,Bueno,Jhonathan Candia
FC Porto ,Portugal,Medio centro,20,Muy bueno,Vítor Ferreira
Standard de Liège ,Israel,Medio centro ofensivo|Medio centro,25,Bueno,Eden Shamir
Dynamo Kyiv ,Nigeria,Medio derecho|Medio izquierdo,21,Bueno,Benito
Shonan Bellmare ,Japan,Medio centro ofensivo|Medio centro|Medio centro ofensivo,27,Bueno,Hidetoshi Miyuki
Club Atlético River Plate ,Uruguay,Delantero Centro|Medio centro ofensivo,28,Bueno,Adrián Leites
Club Atlético River Plate ,Uruguay,Portero,27,Bueno,Gastón Olveira
Desportivo das Aves ,Portugal,Medio centro|Medio centro ofensivo,21,Bueno,Zidane Banjaqui
Club Deportivo El Nacional ,Ecuador,Delantero Centro,31,Bueno,Luis Congo
Club Deportivo El Nacional ,Ecuador,Defensa central,32,Bueno,Pablo Cifuentes
Club Sol de América ,Argentina,Delantero Centro|Medio centro ofensivo|Extremo izquierdo,25,Bueno,Matías Pardo
CS Emelec ,Ecuador,Lateral derecho|Lateral izquierdo|Defensa central,22,Bueno,Bryan Carabali
Sociedad Deportiva Aucas ,Ecuador,Medio izquierdo|Extremo izquierdo,21,Bueno,Alexander Alvarado
Club Social Cultural y Deportivo Blooming,Brazil,Delantero Centro,28,Bueno,Rafael Barros
LDU Quito ,Ecuador,Medio centro ofensivo|Media punta,22,Bueno,Adolfo Muñoz
Club Plaza de Deportes Colonia ,Uruguay,Medio derecho|Medio centro,22,Bueno,Yvo Calleros
Deportivo Binacional ,Peru,Delantero Centro,22,Bueno,Anthony Osorio
Club Atlético Grau ,Peru,Medio izquierdo,30,Bueno,Gary Correa
Club Atlético Grau ,Peru,Medio centro ofensivo,23,Bueno,Enmanuel Páucar
Audax Italiano ,Peru,Medio centro ofensivo,29,Bueno,Pablo Lavandeira
Granada CF ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,20,Bueno,Antoñín
Liverpool Fútbol Club ,Uruguay,Delantero Centro,23,Bueno,Juan Ramírez
Deportivo Binacional ,Peru,Defensa central,31,Bueno,John Fajardo
Club Deportivo Jorge Wilstermann ,Bolivia,Medio centro ofensivo,26,Bueno,Carlos Melgar
Aragua Fútbol Club ,Venezuela,Delantero Centro|Medio derecho,29,Bueno,Daniel Febles
Club Atlético Grau ,Colombia,Delantero Centro,29,Bueno,Jefferson Collazos
Club Olimpia ,Paraguay,Lateral derecho,29,Bueno,Luis de la Cruz
Sport Huancayo ,Peru,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,29,Bueno,Jorge Bazán
Paris Saint-Germain ,France,Delantero Centro,18,Bueno,Arnaud Kalimuendo
Club América ,Uruguay,Delantero Centro,22,Bueno,Federico Viñas
C.D. Universidad Católica del Ecuador ,Ecuador,Medio derecho|Extremo izquierdo,25,Bueno,Jeison Chalá
C.D. Universidad Católica del Ecuador ,Uruguay,Defensa central,29,Bueno,Guillermo de los Santos
C.D. Universidad Católica del Ecuador ,Argentina,Portero,33,Bueno,Hernán Galíndez
Independiente del Valle ,Ecuador,Lateral derecho|Medio derecho|Extremo izquierdo,20,Bueno,Jhon Sánchez
Independiente del Valle ,Ecuador,Lateral izquierdo|Defensa central,22,Bueno,Luis Segovia
Club Nacional de Football ,Uruguay,Medio centro ofensivo|Medio centro,22,Bueno,Gabriel Neves
Club Atlético Peñarol ,Uruguay,Medio centro ofensivo|Medio centro|Medio centro ofensivo,21,Bueno,Matías de los Santos
Guaraní (Paraguay) ,Paraguay,Medio izquierdo|Extremo izquierdo,20,Muy bueno,Rodney Redes
Guaraní (Paraguay) ,Paraguay,Lateral derecho|Defensa central,29,Bueno,Javier Báez
Paris Saint-Germain ,France,Medio centro|Medio centro ofensivo,18,Bueno,Adil Aouchiche
LAFC ,Uruguay,Extremo izquierdo|Extremo izquierdo,20,Bueno,Brian Rodríguez
Club Nacional de Football ,Paraguay,Defensa central,25,Bueno,Miguel Jacquet
Al Adalah Club ,Senegal,Medio centro ofensivo|Medio centro,30,Bueno,Aliou Cissé
FC Luzern ,Senegal,Medio derecho|Medio izquierdo,22,Bueno,Ibrahima Ndiaye
Cittadella ,Italy,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,26,Bueno,Marco Rosafio
Chievo Verona ,Italy,Medio centro,19,Muy bueno,Salvatore Esposito
SK Slavia Praha ,Czech Republic,Portero,19,Muy bueno,Jakub Markovic
Sparta Praha ,Czech Republic,Delantero Centro|Medio derecho,21,Bueno,Martin Graiciar
Colón de Santa Fe ,Uruguay,Medio derecho,25,Bueno,Mauro Da Luz
Belenenses ,Portugal,Lateral derecho|Medio centro ofensivo|Medio centro,24,Bueno,Tiago Esgaio
Moreirense FC ,Brazil,Medio centro|Medio centro ofensivo,23,Bueno,Luiz Henrique
FC Red Bull Salzburg ,Germany,Delantero Centro|Extremo izquierdo|Extremo izquierdo,18,Muy bueno,Karim Adeyemi
Antalyaspor ,Germany,Medio centro ofensivo|Medio centro,22,Bueno,Ufuk Akyol
Boavista FC ,Brazil,Extremo izquierdo,23,Bueno,Paulinho
LOSC Lille ,Morocco,Defensa central,22,Bueno,Saad Agouzoul
Free Agents ,Ecuador,Lateral izquierdo,34,Bueno,Jorge Breitez
Free Agents ,Ecuador,Medio derecho|Extremo izquierdo,32,Bueno,Mathías Guerreyro
FC Paços de Ferreira ,Brazil,Defensa central,26,Bueno,Maracás
CD Mirandés ,Spain,Defensa central,30,Bueno,Odei
Sepsi OSK Sfântu Gheorghe ,Romania,Defensa central|Medio centro ofensivo,33,Bueno,Razvan Tincu
Toronto FC ,Venezuela,Medio derecho|Extremo izquierdo,24,Bueno,Erickson Gallardo
Vitória Setúbal ,Brazil,Medio centro ofensivo,25,Bueno,Leandro Vilela
Santa Clara ,Nigeria,Lateral izquierdo,23,Bueno,Zaidu Sanusi
Dinamo Zagreb ,Croatia,Lateral izquierdo|Defensa central,18,Muy bueno,Josko Gvardiol
Damac FC ,Algeria,Portero,29,Bueno,Moustapha Zeghba
Moreirense FC ,Guinea Bissau,Medio centro ofensivo|Medio centro,24,Bueno,Sori Mané
UD Las Palmas ,Spain,Lateral derecho|Defensa central,27,Bueno,Alex Suárez
Club Atlas ,Ecuador,Medio derecho,28,Bueno,Manuel Balda
Abha Club ,Morocco,Portero,28,Bueno,Abdelali M'hamdi
Arsenal de Sarandí ,Argentina,Delantero Centro,33,Bueno,Ezequiel Cérica
Club Atlético Aldosivi ,Paraguay,Lateral izquierdo|Defensa central,30,Bueno,Marcos Miers
Arsenal de Sarandí ,Argentina,Defensa central,34,Bueno,Rubén Zamponi
Free Agents ,Peru,Portero,26,Bueno,Patricio Álvarez
