Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Fantasy, Horror, Action",ja,2000-08-25,7.6,powerful; notoriously; deadly,Vampire Hunter D: Bloodlust
"Adventure, Comedy, Fantasy",en,2002-04-13,7.3,valuable; various; lessons,Interstate 60
"Fantasy, Horror",en,1997-07-18,5.9,forest; living; seems,Snow White: A Tale of Terror
Drama,es,2007-02-01,8.4,Jesus; feelings; destroyed,Scars 2
Comedy,en,1989-11-30,7.2,going; kids; soon,National Lampoon's Christmas Vacation
"Horror, Science Fiction, Action, Thriller",en,2018-02-04,5.6,Orbiting; crisis; solve,The Cloverfield Paradox
"Adventure, Drama, Thriller",en,2010-11-12,7.1,boulder; climber; traps,127 Hours
"Comedy, Documentary",en,2007-12-18,6.1,Man; Wee; version,Jackass 2.5
"Comedy, Romance",en,2019-05-02,6.7,Presidency; prepares; advisers,Long Shot
"Thriller, Science Fiction",en,1998-08-13,4.4,August; investigates; combat,The Avengers
"Crime, Thriller, Romance, Drama",en,1993-11-10,7.8,PuertoRican; lead; outside,Carlito's Way
Horror,en,2007-06-22,6.7,debunking; Dolphin; fabled,1408
"Drama, History, Romance",fr,2019-06-17,8.2,isolated; end; island,Portrait of a Lady on Fire
"Horror, Thriller",en,2010-08-27,5.6,dispel; comes; what,The Last Exorcism
"Science Fiction, Thriller, Drama, Crime",en,2009-01-09,5.4,However; uncover; trying,The Butterfly Effect 3: Revelations
"Horror, Comedy, Drama",en,2021-12-03,6.5,perfect; Perfect; thing,Silent Night
"Animation, Adventure, Comedy, Family, Fantasy, Music",en,2018-03-26,6.6,princesses; engaged; Three,Charming
"Action, War",zh,2015-04-02,6.2,hired; extraordinary; confronted,Wolf Warrior
"Animation, Family, Adventure, Action, Comedy",en,2016-06-21,6.9,Nightwing; caped; City,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout
"Science Fiction, Mystery, Drama, Thriller, Horror",en,2015-05-28,6.0,device; themselves; learn,Circle
"Comedy, Fantasy",en,2021-09-17,6.5,estate; An; neerdowell,Lady of the Manor
"Comedy, Drama",es,2021-09-24,5.9,deserve; keep; lifestyle,El Planeta
Comedy,en,1999-08-12,6.1,sets; break; starryeyed,Bowfinger
"Action, Animation, Science Fiction, TV Movie, War",ja,2016-11-26,4.8,unable; off; remember,KanColle Movie
"Horror, Fantasy, Thriller, Drama",en,2018-04-13,5.5,truth; discovers; held,Wildling
"Thriller, Horror",en,2012-07-28,6.1,party; footage; desolate,V/H/S
"Thriller, Crime, Drama, Mystery",en,2003-01-01,7.7,tragedy; shattered; three,Mystic River
Horror,en,2009-07-21,5.3,barn; die; blue,Messengers 2: The Scarecrow
"Adventure, Drama, Thriller",en,1993-01-15,6.9,through; through; crashed,Alive
"Animation, Fantasy, Drama, Science Fiction",zh,2016-09-29,7.0,domination; CGI; million,L.O.R.D: Legend of Ravaging Dynasties
"TV Movie, Family, Comedy, Fantasy",en,2015-06-26,6.8,“Wet; Story”; characters,Teen Beach 2
"Documentary, Music",en,2015-07-03,7.6,success; teen; showed,Amy
"Romance, Drama",ja,2016-12-17,7.6,Takatoshi; sight; art,Tomorrow I Will Date With Yesterday's You
"Romance, Adventure, Science Fiction, Drama",en,2017-01-26,7.1,returns; Mars; Earth,The Space Between Us
"Action, Adventure, Science Fiction, Thriller",en,1996-08-09,5.9,again; hits; found,Escape from L.A.
"Science Fiction, Thriller, Mystery, Action, Adventure",en,2018-07-13,5.3,desperate; chaos; everything,How It Ends
"Drama, Romance",fr,2022-03-09,0.0,wanderings; faces; She,My Night
"Drama, Thriller, TV Movie",en,2018-06-12,4.9,or; struggling; strange,"My Teacher, My Obsession"
"Animation, Music, Family",en,2015-10-24,7.3,magic; Crystal; appearance,My Little Pony: Equestria Girls: Friendship Games
"Comedy, Drama",it,1992-02-21,4.4,owner; happily; still,All Ladies Do It
Comedy,en,1986-06-11,7.7,series; Cameron; successfully,Ferris Bueller's Day Off
"Action, Adventure, Comedy, Science Fiction",ja,2017-07-14,6.7,work; invaded; samurai,Gintama
"Fantasy, Comedy, Romance",en,2011-05-11,7.5,couple; comedy; traveling,Midnight in Paris
Comedy,de,1969-01-18,6.6,directed; comedy; Hendel,Graf Porno und seine Mädchen
"Science Fiction, Drama",en,2019-05-20,5.4,visa; colony; ago,After We Leave
"Comedy, Action",fr,2022-02-02,6.0,just; again; full,Superwho?
"Family, Drama",en,2016-11-04,7.9,addict; recovering; cat,A Street Cat Named Bob
"Family, Adventure, Comedy, Romance",en,2005-01-20,5.6,Eve; liked; fledgling,Are We There Yet?
"Thriller, Action",fr,2019-02-20,7.6,war; things; strives,The Wolf's Call
"Action, Horror, Science Fiction",en,2018-09-07,5.6,alive; biggest; sent,Redcon-1
"Drama, Action, War",ru,2019-03-21,7.7,soldiers; Kosovo; pulls,Balkan Line
"Thriller, Science Fiction",en,2014-10-09,5.8,profound; discovers; What,Automata
"Fantasy, Family, Animation, Adventure",en,1977-06-22,6.7,Aid; named; call,The Rescuers
"Comedy, Family, Adventure",en,1997-07-03,6.4,or; board; blocked,Bean
"Comedy, Adventure, Family, Fantasy",en,2018-11-22,7.1,Teddy; cause; accidentally,The Christmas Chronicles
"Romance, Comedy, Drama",en,1953-08-26,7.9,reporter; morning; Anns,Roman Holiday
"War, Action",en,1961-04-27,7.4,prevent; destroy; infiltrate,The Guns of Navarone
"Drama, Horror",de,1979-01-17,7.4,under; death; travels,Nosferatu the Vampyre
"Drama, Thriller",tl,2022-01-07,4.0,pastors; revealed; affair,Siklo
"Horror, Thriller",en,1995-09-29,5.2,Loomis; escaped; terrorized,Halloween: The Curse of Michael Myers
"Action, Crime, Mystery, Thriller",en,2009-09-09,5.5,Carrie; Research; three,Whiteout
"Adventure, Fantasy, Mystery",en,2019-08-22,6.2,sick; city; ago,Abigail
"Action, Adventure, Fantasy",zh,1991-11-30,4.0,series; Ball; liveaction,Dragon Ball: The Magic Begins
"Action, Fantasy, Horror, Mystery",en,1999-11-24,6.0,inhabiting; hope; crash,End of Days
"Drama, Science Fiction, Thriller",en,2006-08-17,4.9,However; discovers; auto,The Butterfly Effect 2
"Music, Documentary",es,2021-02-26,8.1,rehearsals; history; left,Soy Luna: The Last Concert
"Crime, Action, Thriller",en,2015-05-21,5.6,did; Officer; run,Survivor
"Horror, Action, Drama, Fantasy, War",en,2014-10-01,6.4,mythological; hero; vampire,Dracula Untold
"Comedy, Romance",en,2017-09-01,5.3,Louis; extended; St,The Layover
"Comedy, Romance",en,2020-02-13,7.1,wellmeaning; selfish; England,Emma.
"Comedy, War",en,1940-10-15,8.4,tries; Adenoid; tries,The Great Dictator
Romance,ja,2018-10-05,5.4,Mizushimas; model; Mai,You Are the Apple of My Eye
"Action, Adventure, Science Fiction",en,2022-11-09,0.0,Panther; sequel; Black,Black Panther: Wakanda Forever
"Comedy, Drama, Romance",en,2011-05-05,6.3,Rachel; single; friend,Something Borrowed
"Horror, Thriller",en,1986-05-23,6.0,escape; zealot; mother,Poltergeist II: The Other Side
"Animation, Action, Thriller",ja,2013-12-07,6.8,Sapphire; Conan; Detective,Lupin the Third vs. Detective Conan: The Movie
"Action, Fantasy, Horror, Science Fiction",ja,2007-03-15,7.0,48; quest; avenge,Dororo
"Comedy, Horror",en,2014-09-19,5.4,missing; friends; guy,Tusk
"Comedy, Romance",en,2019-02-14,5.7,rewriting; Ciobanus; Oh,"Oh, Ramona!"
"Animation, Family, Fantasy, Comedy, Adventure, Mystery",en,2018-03-15,5.6,disappearance; renown; investigate,Sherlock Gnomes
"Drama, Romance, Adventure",ko,2014-05-14,6.8,1969; beautiful; officer,Obsessed
"Crime, Action",en,2019-05-24,6.8,While; revenge; lowly,Avengement
"Action, Animation, Science Fiction, Fantasy",ja,2011-06-17,6.3,Quon; follows; secret,Towa no Quon 1: The Ephemeral Petals
"Drama, Thriller",en,2016-11-11,5.4,psychologist; isolated; boy,Shut In
"Comedy, Music, Romance",en,1952-04-09,8.2,make; film; cast,Singin' in the Rain
Documentary,en,2016-10-21,7.7,demise; our; communities,Before the Flood
"Thriller, Mystery, Drama, Romance",en,2006-05-05,5.1,former; wife; accident,Survival Island
Drama,en,1992-12-23,7.7,Christmas; To; Charlie,Scent of a Woman
Documentary,en,2016-04-23,5.9,Every; Join; Ghosthead,Ghostheads
"Comedy, Drama",en,2011-11-11,5.7,returns; married; reconnect,Young Adult
"Adventure, Comedy, Fantasy",en,2018-02-16,6.8,Wuba; baby; civil,Monster Hunt 2
"Thriller, Mystery, Drama",en,2019-01-24,5.4,Plymouth; Baker; quiet,Serenity
"Drama, Thriller",de,2006-03-15,8.1,deeper; follow; deeper,The Lives of Others
Drama,es,2011-09-22,6.3,pupil; journalism; relive,"Madrid, 1987"
Documentary,pt,2021-02-23,7.5,Pelés; breakthrough; personified,Pelé
"Horror, Comedy, Action",nl,2019-12-13,6.4,ward; Eastern; operating,Yummy
Horror,en,1979-07-26,6.3,Kathleen; Long; affects,The Amityville Horror
"Horror, Mystery, Thriller",en,2013-11-16,6.3,eye; murders; attorney,Wer
"Action, Adventure, Thriller, Drama",en,1997-02-07,6.1,fighting; realized; sleepy,Dante's Peak
"Comedy, Crime",en,1987-04-02,5.4,program; Academy; recruits,Police Academy 4: Citizens on Patrol
"Crime, Action, Horror, Thriller",en,1999-03-16,4.6,crooks; crosses; Mexico,From Dusk Till Dawn 2: Texas Blood Money
"Action, Adventure, Comedy, Thriller",en,1989-12-22,6.4,furious; Crime; trust,Tango & Cash
"Horror, Thriller, Mystery",en,2008-10-24,5.3,rest; fully; check,Vacancy 2: The First Cut
"Science Fiction, Horror, Mystery",en,2019-09-07,6.0,child; maze; forced,Vivarium
"Action, Thriller, Science Fiction",en,2011-10-11,5.3,arena; Lord; entertainment,Arena
Western,en,1992-08-07,7.9,prostitute; William; corrupt,Unforgiven
Drama,ru,2019-10-31,7.0,Serezha; They; chance,Fidelity
"Comedy, Drama, Family, Romance",en,2006-03-17,6.8,Hastings; Sebastian; twin,She's the Man
Comedy,en,2000-08-25,6.2,year; land; Rancho,Bring It On
Horror,en,2003-04-11,6.2,Two; across; traveling,House of 1000 Corpses
"Drama, Romance",en,2008-08-15,6.8,enamored; same; exwife,Vicky Cristina Barcelona
"Thriller, Fantasy, Action, Comedy",en,2003-08-15,5.6,powers; superhuman; transformed,The Medallion
"Drama, Crime",es,2014-10-12,7.9,Hermógenes; well; northern,The Boss: Anatomy of a Crime
"Drama, TV Movie",en,2021-04-30,6.0,teenage; budding; 12yearold,Daddy's Perfect Little Girl
"Adventure, Action, Drama",en,1998-03-12,6.6,passed; tyrannical; havoc,The Man in the Iron Mask
"Science Fiction, Action, Thriller",en,2017-06-01,4.8,goes; wrong; battles,Kill Switch
"Horror, Science Fiction, Thriller",ru,2020-11-04,6.3,hiding; team; something,The Superdeep
"Animation, Family",es,2016-10-14,6.0,problem; turned; bring,Ozzy
"Family, Animation, Adventure",en,2003-02-07,5.9,maneating; old; living,The Jungle Book 2
"Mystery, Drama, History, Family, Thriller",en,2015-06-05,7.0,9; ranching; couple,The Cokeville Miracle
"Action, Comedy, Fantasy",en,2003-03-28,5.5,mentors; ancient; immortal,Bulletproof Monk
Romance,ko,2017-05-04,4.5,desert; turns; boat,Covet: Island of Desire
"Comedy, Romance",en,2002-03-29,6.0,college; However; wants,National Lampoon's Van Wilder
"Action, Animation",ja,2007-04-28,6.5,bringing; others; Shinken,Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight
"Action, Adventure, Comedy",en,2004-06-16,5.9,80; circle; British,Around the World in 80 Days
"Comedy, Drama, Romance",en,2005-02-25,6.5,times; important; Madea,Diary of a Mad Black Woman
"Action, Adventure, Crime, Thriller",cn,1991-02-07,7.4,Asian; Spanish; aka,Operation Condor
"Drama, Action, Adventure, Fantasy",en,2013-12-06,6.1,To; vengeance; challenges,47 Ronin
"Comedy, Drama",en,2016-04-15,6.3,son; rise; plan,Barbershop: The Next Cut
"Adventure, Animation, Comedy, Family",en,2008-09-24,5.8,pets; determined; head,Open Season 2
"Romance, Drama",ja,2007-11-03,7.9,caller; proof; Hiro,Sky of Love
"Action, Crime, Science Fiction",en,2020-08-14,6.6,behind; exsoldier; Orleans,Project Power
"Science Fiction, Action, Thriller, Drama",ko,2018-07-25,6.4,another; may; opposing,Illang: The Wolf Brigade
"Action, Drama",en,1997-08-19,6.4,expects; Senator; enrolling,G.I. Jane
"Thriller, Drama, Action",ko,2016-12-07,7.5,nuclear; hits; village,Pandora
"Action, Adventure, Fantasy, Family",en,2019-01-16,6.1,Oldschool; Together; Alex,The Kid Who Would Be King
"Drama, Family, Fantasy",en,1995-05-10,7.6,late; attend; enlists,A Little Princess
"Action, Drama, Thriller",en,1994-08-03,6.6,drug; Colombian; drawn,Clear and Present Danger
"Action, Science Fiction, Thriller",en,2019-04-05,4.1,science; Navy; powerful,Alien Warfare
"Drama, History, Action",en,1993-05-07,6.9,This; opening; discovered,Dragon: The Bruce Lee Story
"Action, Thriller, Science Fiction",en,2008-03-14,5.9,quarantine; thousands; unit,Doomsday
Drama,en,2021-04-30,7.0,crucial; through; days,Four Good Days
"Horror, Thriller, Mystery",en,2019-11-21,5.6,romantic; witnesses; rescue,Behind the Trees
"Adventure, Action",en,2014-09-05,6.2,left; attacked; Chapman,Falcon Rising
"Action, Comedy",en,1978-06-27,6.4,support; song; mile,Convoy
"History, Drama, Comedy",it,1971-08-25,7.0,what; husband; revenge,The Decameron
"Horror, Drama, Thriller, Fantasy",en,2019-05-16,6.0,sound; under; teen,The Silence
"Thriller, Crime, Drama",en,2013-10-25,5.2,lawyer; trafficking; head,The Counselor
Action,en,2015-11-13,6.1,greedy; go; hijack,Heist
"Comedy, Crime",en,1989-03-31,7.3,play; teaches; tries,Heathers
"War, Drama, History, Romance",en,2019-05-03,7.0,20th; World; threatens,Tolkien
"Western, Crime",en,2016-08-11,7.3,Texas; order; desperate,Hell or High Water
"Drama, Romance",en,1984-02-17,6.6,dancing; real; hes,Footloose
"Comedy, Drama, Thriller",en,1996-06-10,5.9,doesnt; guy; overzealous,The Cable Guy
"Thriller, Horror",en,2000-12-22,5.1,antiques; training; Simon,Dracula 2000
"Family, Animation, Comedy, Adventure",fr,2018-05-12,6.9,mistletoe; Accompanied; Druid,Asterix: The Secret of the Magic Potion
"Comedy, Family, Fantasy",en,2006-12-07,6.2,pen; knows; end,Charlotte's Web
"Comedy, Romance",en,2013-02-08,5.5,relationship; lovers; hastily,I Give It a Year
"Horror, Comedy",en,2007-10-26,6.9,occur; bitter; college,Trick 'r Treat
"Crime, Comedy, Action",en,2013-09-13,6.4,program; soon; habits,The Family
"Crime, Drama, Thriller",en,1996-07-24,7.4,KKK; murdering; accused,A Time to Kill
"Drama, Action, Thriller",en,2011-12-08,5.1,thrust; cook; bizarre,Catch.44
"War, Thriller, Action, Drama",en,1995-05-12,7.2,sub; captain; trigger,Crimson Tide
"Action, Fantasy, Thriller",en,2020-02-28,6.5,boy; accidental; origins,Mortal
"Action, Drama, Comedy",zh,2018-08-16,7.7,teacher; students; gang,Big Brother
"Adventure, Fantasy, Horror, Family",en,1990-05-25,6.9,grandmother; Will; Luke,The Witches
"Comedy, Romance",en,2004-12-22,6.2,climes; themselves; do,Meet the Fockers
Documentary,fr,2022-03-09,0.0,realized; day; should,Soy Libre
Comedy,en,2010-08-18,4.2,between; choose; embarrasses,Vampires Suck
Documentary,en,2021-11-12,6.1,boys; inspired; empowerment,Procession
"Crime, Drama, Thriller",it,2019-12-05,6.7,dark; Naples; comes,The Immortal
Horror,en,2006-06-24,4.2,continue; theyre; friend,I'll Always Know What You Did Last Summer
Horror,en,2014-12-04,5.2,seek; unearths; hopelessly,The Pyramid
Drama,en,2016-11-18,7.5,away; older; past,Manchester by the Sea
"Horror, Thriller, Mystery",en,2018-10-13,6.7,rambling; carer; house,The Haunted
"Thriller, Crime",en,2019-05-23,4.5,appears; reveals; investigate,The Poison Rose
Comedy,en,2014-05-02,5.9,anchor; job; onenight,Walk of Shame
"Action, Drama, Thriller, Romance",en,1993-01-15,6.2,determined; Sam; Gillen,Nowhere to Run
"Drama, Thriller, TV Movie, War",en,1987-04-12,7.3,WWIIs; notorious; death,Escape from Sobibor
"Drama, History, Romance",en,1979-08-14,5.8,Romes; sister; Emporer,Caligula
"Family, Animation, Adventure, Comedy",en,2017-06-28,6.8,Willy; gets; Tom,Tom and Jerry: Willy Wonka and the Chocolate Factory
"Drama, History, Comedy, Family",en,2017-10-12,6.8,inspiration; forever; vivid,The Man Who Invented Christmas
"Adventure, Fantasy, Animation, Science Fiction, Family",ja,2001-07-06,6.4,Celebi; Satoshi; named,Pokémon 4Ever: Celebi - Voice of the Forest
"Comedy, Romance, Drama",en,2007-06-01,6.2,later; expected; animal,Knocked Up
"Horror, Thriller",en,2005-09-16,5.5,souls; chased; evil,Venom
Drama,fr,2022-03-09,0.0,27yearold; live; alone,Theo and the Metamorphosis
"Comedy, Crime, Drama, History",en,2018-08-09,7.6,late; Zimmerman; American,BlacKkKlansman
"Science Fiction, Thriller",en,2018-06-29,6.2,futuristic; controls; Held,Tau
"Action, Crime, Thriller",en,2017-09-23,7.0,police; prison; boxer,Brawl in Cell Block 99
"Family, Fantasy, Action, Adventure, Comedy",en,2009-07-21,5.4,shuts; Can; Juarez,G-Force
"Animation, Comedy, Family",en,2003-11-14,6.4,missing; Bunny; Bugs,Looney Tunes: Back in Action
"Horror, Science Fiction, Thriller",en,2014-04-04,5.7,Brown; encounters; vacationing,Alien Abduction
"Comedy, Science Fiction",en,2015-06-26,5.8,power; aliens; Eccentric,Absolutely Anything
"Animation, Fantasy",en,2013-03-03,7.5,apprentice; Scaris; Madame,Monster High: Scaris City of Frights
"Action, Fantasy",zh,2019-02-05,5.5,asked; humanity; through,The Knight of Shadows: Between Yin and Yang
Comedy,en,1993-07-28,6.6,Hood; Sheriff; fellow,Robin Hood: Men in Tights
"Animation, Family",en,2011-11-03,6.7,Skipper; hospitality; York,Barbie: A Perfect Christmas
"Thriller, Drama",en,2017-10-12,5.8,demons; seeking; An,6 Below: Miracle on the Mountain
"Drama, Romance",fr,2017-12-20,7.4,tells; sole; From,Promise at Dawn
"Romance, Comedy, Adventure",en,2008-02-07,5.7,hunter; Ben; beat,Fool's Gold
"Drama, History",en,2021-02-12,7.4,Fred; Black; Bill,Judas and the Black Messiah
"Action, Comedy, Science Fiction",en,2008-03-27,5.2,And; Riker; nerdy,Superhero Movie
"Crime, Action, Thriller",en,2014-08-27,6.1,involving; level; presidentelect,The November Man
Drama,en,2010-10-28,6.2,unexpectedly; resist; Devastated,The Other Woman
Action,en,2019-03-05,5.4,joins; Romania; death,The Hard Way
Documentary,fr,2022-03-09,0.0,could; French; comfortable,A Guide to Love and Fighting Capitalism
"Drama, Thriller",en,2021-07-16,6.7,beloved; Portland; stole,Pig
Comedy,en,2015-03-05,5.4,close; global; business,Unfinished Business
"Thriller, Drama, Mystery, Crime",en,2018-10-04,6.8,Royale; night; Tahoe,Bad Times at the El Royale
"Romance, Comedy",en,2020-11-26,7.4,conservative; plans; discovers,Happiest Season
"Comedy, Romance",en,2005-02-04,6.8,enough; marriage; grooms,The Wedding Date
"Comedy, Drama",en,2013-08-30,5.8,kaput; lacklustre; sex,Afternoon Delight
"Drama, History, War",en,1989-08-18,7.1,soldier; actual; female,Casualties of War
"Thriller, Action, Science Fiction",en,2014-06-19,4.9,minutes; than; figure,The Anomaly
"Science Fiction, Adventure, Action",en,2002-03-04,6.2,divided; inventor; 800000,The Time Machine
"Action, Crime, Drama",zh,2019-12-29,7.5,Special; Chinese; Police,S.W.A.T.
"Horror, Thriller",en,2018-03-07,5.6,road; every; turn,The Strangers: Prey at Night
"Horror, Thriller",en,2018-02-02,5.9,mansion; Sarah; firearm,Winchester
"Action, Animation, Drama, Romance",ja,2013-08-24,6.2,Otomate; Yukimura; custody,Hakuouki: Wild Dance of Kyoto
"Adventure, Family, Fantasy",en,1986-06-27,7.3,stepbrother; teen; kidnapped,Labyrinth
"Drama, Romance",en,2003-12-12,6.6,peasant; Pearl; master,Girl with a Pearl Earring
"Action, Drama",ko,2015-07-22,7.4,military; awry; past,Assassination
Horror,fr,1981-05-27,7.3,suspects; behaviors; indicate,Possession
"Horror, Thriller, Mystery",en,2016-01-07,5.2,reallife; go; search,The Forest
Comedy,en,1998-11-06,6.0,football; water; struggling,The Waterboy
"Action, Adventure, Thriller",en,1997-06-13,4.5,environmental; trying; any,Speed 2: Cruise Control
"Horror, Mystery, Thriller",en,2005-01-27,6.4,violent; created; isnt,Hide and Seek
"History, Music, Drama",en,1984-09-19,8.0,unwittingly; Salieri; fierce,Amadeus
"Fantasy, Adventure, Animation",ja,1993-06-05,7.7,possibly; travels; land,Ninja Scroll
"Drama, Fantasy, Thriller",en,2013-09-06,6.3,horns; death; awakens,Horns
"Comedy, Horror",en,2014-10-10,5.9,savages; isolated; kids,Cooties
Action,ko,2018-12-06,5.3,serves; infiltrates; row,Revenger
"Action, Animation",en,2011-11-25,6.5,falls; Tennyson; powers,Ben 10 Generator Rex Heroes United
"Crime, Thriller, Romance",en,1981-08-28,7.1,Florida; smalltown; convinces,Body Heat
Horror,en,2009-01-30,6.5,former; news; moved,The Uninvited
"Family, Adventure, Animation, Comedy, Fantasy, Mystery",en,2004-06-21,7.4,gang; Ness; While,Scooby-Doo! and the Loch Ness Monster
Drama,ru,2014-09-24,7.4,demolished; Kolya; coastal,Leviathan
"Action, Drama",zh,2019-12-23,7.0,mob; Policeman; daughter,Ip Man: Kung Fu Master
"Action, Comedy",en,2014-01-07,6.2,James; asks; For,Ride Along
"Drama, Romance",en,1994-12-21,7.3,circumstances; inevitably; part,Little Women
"Horror, Fantasy",en,1988-04-01,6.1,Turns; egging; heavensent,The Seventh Sign
"Thriller, Mystery",en,2015-10-03,5.2,impunity; stalker; hometown,Blackway
"Drama, Romance",en,2010-03-11,7.1,parents; tragedies; mothers,Remember Me
"Drama, Comedy, Romance",en,2006-02-24,6.3,Lisa; relationship; through,Madea's Family Reunion
"Horror, Thriller",en,1978-11-02,5.9,vengeance; terrible; exact,Day of the Woman
Crime,en,2018-12-14,5.4,thief; high; car,Backtrace
"Animation, Action",ja,2005-12-22,5.1,Fifth; crystals; crystals,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!
"Drama, Romance, Science Fiction, Thriller, Mystery",en,2017-03-31,6.3,chosen; countless; experiments,The Discovery
"Comedy, Romance",en,2010-03-11,6.3,Molly; doubts; forever,She's Out of My League
"Romance, Comedy, Family, Fantasy",en,1974-02-12,6.1,Beetle; old; lady,Herbie Rides Again
"Action, Thriller, Crime, Romance",en,1993-09-09,7.5,Hollywood; try; marries,True Romance
"Drama, Mystery, Thriller",no,2017-09-15,6.9,experience; soon; abilities,Thelma
"Horror, Action, Comedy",en,2014-10-20,4.9,riverside; College; deadly,Zombeavers
"Western, Action",en,2001-08-17,5.9,biggest; object; railroad,American Outlaws
Comedy,en,2015-12-18,6.0,summoned; sell; parents,Sisters
"Crime, Drama, Mystery, Thriller",en,1997-09-19,7.8,allnight; patrons; uncover,L.A. Confidential
"Action, Adventure, Fantasy, Thriller",en,2003-07-21,5.7,recover; search; Croft,Lara Croft: Tomb Raider - The Cradle of Life
"History, Drama",en,2021-06-18,7.8,coach; inspires; high,12 Mighty Orphans
"Action, Thriller, Drama",en,2002-02-06,5.7,child; credited; dangerous,Collateral Damage
Drama,en,2013-08-01,7.0,New; York; misfortune,Blue Jasmine
"Action, Comedy, Adventure",cn,1983-12-22,7.3,late; One; Ma,Project A
"Animation, Action, Adventure",ja,2011-03-19,5.6,Peck; Toriko; youngster,Toriko 3D Movie: Kaimaku! Gourmet Adventure!!
"Crime, Drama, Thriller",en,1996-10-18,7.6,prison; gangsters; abused,Sleepers
"Thriller, Action, Drama",en,2002-05-31,6.3,succeeds; Bill; quick,The Sum of All Fears
"Romance, Comedy",en,2018-11-22,6.4,frustrations; street; Madison,Second Act
"Comedy, Drama, Romance",en,2000-09-01,5.8,sexy; never; teencomedy,100 Girls
"Crime, Drama",en,2001-06-15,6.7,naïve; conspire; whose,Bully
"Action, Adventure, Science Fiction",ja,2013-08-24,4.9,Dr; power; bear,Gatchaman
"Action, Thriller",en,2015-12-18,4.6,former; operation; operative,Extraction
"Action, Comedy",en,2019-07-11,6.7,stakeouts; dealer; whos,Stuber
"Drama, Action, Comedy",fr,2001-10-31,6.6,girlfriend; boss; Japan,Wasabi
Music,ko,2022-03-12,0.0,BTS; four; powerful,BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING
"Science Fiction, Action",en,1988-11-23,7.3,mindcontrolling; comprised; discovers,They Live
"Family, Action, Animation, Adventure, Fantasy, Science Fiction",ja,2003-07-19,6.5,legendary; Ash; enjoyment,Pokémon: Jirachi Wish Maker
"Mystery, Thriller",en,1999-08-25,6.4,worship; Nine; allexpensespaid,The Ninth Gate
"Comedy, Drama, Romance, Family",en,2020-03-10,7.6,eccentricities; quickly; always,Stargirl
Western,it,1964-01-18,7.9,both; No; pay,A Fistful of Dollars
"Action, Adventure, Comedy, Science Fiction",ja,2015-03-21,7.3,successfully; March; situation,Assassination Classroom
Comedy,en,1980-07-02,7.3,forced; exfighter; list,Airplane!
Horror,en,2015-04-07,5.1,Project; makers; paranormal,Always Watching: A Marble Hornets Story
"Action, Comedy, Horror, Science Fiction, Thriller",en,2001-10-02,5.8,attacks; impressive; deadliest,Tremors 3: Back to Perfection
"Drama, Fantasy, Horror, Thriller",en,2016-04-07,6.4,An; sleeps; orphaned,Before I Wake
"Comedy, Animation, Adventure, Family",en,2012-06-05,6.0,city; bird; community,Zambezia
"Fantasy, Drama, Comedy, Romance, Family",en,1988-06-03,7.1,machine; including; wish,Big
"Science Fiction, Action, Adventure",en,1980-12-04,6.7,mettle; criminals; human,Superman II
Science Fiction,en,2014-11-23,2.8,Days; those; 10000,"10,000 Days"
"Animation, Family, Comedy",en,2000-02-29,6.3,Max; Goofy; go,An Extremely Goofy Movie
"Family, Animation, Action, Adventure, Fantasy, Science Fiction",ja,2012-07-13,6.3,features; Satoshi; test,Pokémon the Movie: Kyurem vs. the Sword of Justice
"Comedy, Action, Fantasy",en,2014-02-07,6.3,Lissa; Rose; vampires,Vampire Academy
"Crime, Drama, Thriller, Mystery",en,2016-08-19,6.4,idealistic; radical; FBI,Imperium
"Action, Comedy, Thriller, Mystery",en,2017-06-08,5.2,best; With; Buddy,Once Upon a Time in Venice
"Drama, Action, Comedy",cn,2006-09-28,7.0,bottles; fend; what,Robin-B-Hood
"Adventure, Comedy, Drama, Family",en,1996-03-08,6.5,trying; mean; Sassy,Homeward Bound II: Lost in San Francisco
Drama,en,1951-09-18,7.7,tormented; Blanche; New,A Streetcar Named Desire
"Fantasy, Drama, Romance",en,1998-10-02,7.2,herself; chance; able,What Dreams May Come
"Comedy, Drama, Romance",en,1994-03-09,6.8,Over; five; may,Four Weddings and a Funeral
"Action, Drama, History",en,1962-08-01,6.3,300; king; Soldiers,The 300 Spartans
"Action, Comedy, Drama",da,2020-11-19,7.2,Markus; foul; wife,Riders of Justice
"Fantasy, Horror",nb,2010-10-29,6.7,learning; dangerous; there,Troll Hunter
"Comedy, Horror",en,2008-04-18,4.8,secret; reanimation; strippers,Zombie Strippers!
"Action, Crime",en,2018-06-13,6.8,whole; Atlanta; scene,SuperFly
"Animation, Thriller",ja,1997-07-25,8.3,obsessed; retired; singer,Perfect Blue
"Comedy, Family, Fantasy",en,2003-10-09,6.7,Pole; nagging; transported,Elf
"Comedy, Crime, Drama, Mystery",en,2016-11-23,5.3,ray; greed; Soke,Bad Santa 2
